TOKEN	NER	de_core_news_sm--03-26-06-08-38	/content/drive/MyDrive/NLP_Project_New/models/sermons_60it--03-26-06-15-17	dbmdz/bert-base-german-cased--03-26-06-43-39	/content/drive/MyDrive/NLP_Project_New/models/bert_base_german_cased_finetuned_3ep--03-26-07-51-24	dbmdz/flair-historic-ner-onb--03-26-08-44-50	dbmdz/flair-historic-ner-onb_finetuned_3ep_2e-5--03-26-09-37-54
p	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
1253	O	O	O	O	O	O	O
Aber	O	O	O	O	O	O	O
bey	O	O	O	B-PER	O	O	O
unsern	O	O	O	O	O	O	O
lebendigen	O	O	O	B-LOC	O	O	O
Orgel	O	O	O	O	O	O	O
Werck	O	B-PER	O	O	O	O	O
zu	O	O	O	O	O	O	O
verbleiben	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
so	O	O	O	B-PER	O	O	O
ist	O	O	O	B-LOC	O	O	O
nicht	O	O	O	B-PER	O	O	O
mit	O	O	O	B-LOC	O	O	O
Stillschweigen	O	O	O	B-PER	O	O	O
zu	O	O	O	B-LOC	O	O	O
übergehen	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
was	O	O	O	O	O	O	O
derselben	O	O	O	O	O	O	O
lieblichen	O	O	O	O	O	O	O
Klang	O	O	O	O	O	O	O
einig	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
allein	O	O	O	O	O	O	O
befördert	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
lieblich	O	O	O	O	O	O	O
macht	O	O	O	B-PER	O	O	O
.	O	O	O	B-LOC	O	O	O
							
Den	O	O	O	I-LOC	O	O	O
Peters	O	O	O	O	B-PER	B-PER	B-PER
Freythoff	O	B-PER	O	B-PER	O	O	O
hat	O	O	O	B-LOC	O	O	O
der	O	O	O	O	O	O	O
Todt	O	B-PER	O	O	O	O	O
bey	O	O	O	B-PER	O	O	O
seinen	O	O	O	O	O	O	O
Nahmen	O	O	O	B-LOC	O	O	O
gelassen	O	O	O	B-PER	O	O	O
.	O	O	O	B-LOC	O	O	O
							
Ein	O	O	O	B-PER	O	O	O
lustiges	O	O	O	O	O	O	O
Seitenspiel	O	O	O	B-LOC	O	O	O
und	O	O	O	O	O	O	O
so	O	O	O	O	O	O	O
gleicher	O	O	O	O	O	O	O
gestalt	O	O	O	O	O	O	O
ein	O	O	O	B-PER	O	O	O
freudiges	O	O	O	O	O	O	O
Pfeiffen	O	O	O	B-LOC	O	O	O
dergleichen	O	O	O	B-PER	O	O	O
bey	O	O	O	O	O	O	O
einer	O	O	O	O	O	O	O
Braut	O	O	O	B-LOC	O	O	O
gehöret	O	O	O	B-PER	O	O	O
wird	O	O	O	O	O	O	O
reimet	O	O	O	B-LOC	O	O	O
sich	O	O	O	B-PER	O	O	O
nicht	O	O	O	O	O	O	O
wenn	O	O	O	O	O	O	O
man	O	O	O	B-LOC	O	O	O
traurig	O	O	O	O	O	O	O
ist	O	O	O	O	O	O	O
.	O	O	O	B-PER	O	O	O
							
Groß	O	O	O	B-LOC	O	B-PER	O
sind	O	O	O	B-PER	O	O	O
alle	O	O	O	B-LOC	O	O	O
seine	O	O	O	B-PER	O	O	O
löbliche	O	O	O	B-LOC	O	O	O
Werke	O	O	O	O	O	O	O
und	O	O	O	B-PER	O	O	O
Wunder	O	O	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
er	O	O	O	B-PER	O	O	O
auf	O	O	O	O	O	O	O
Erden	O	O	O	B-LOC	O	O	O
verrichtet	O	O	O	B-PER	O	O	O
;	O	O	O	O	O	O	O
Und	O	O	O	B-LOC	O	O	O
darum	O	O	O	O	O	O	O
soll	O	O	O	O	O	O	O
auch	O	O	O	B-PER	O	O	O
unser	O	O	O	O	O	O	O
aller	O	O	O	O	O	O	O
Mund	O	O	O	B-LOC	O	O	O
seines	O	O	O	B-PER	O	O	O
Lobes	O	O	O	B-LOC	O	O	O
voll	O	O	O	O	O	O	O
seyn	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
alle	O	O	O	O	O	O	O
Gemeinen	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Christen	O	O	O	O	O	O	O
sollen	O	O	O	O	O	O	O
vor	O	O	O	O	O	O	O
Jhm	O	O	O	O	O	O	O
knien	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
anbeten	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
in	O	O	O	B-PER	O	O	O
allen	O	O	O	B-LOC	O	O	O
Tempeln	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Jhm	O	O	O	O	O	O	O
geheiliget	O	O	O	O	O	O	O
sind	O	O	O	B-PER	O	O	O
,	O	O	O	B-LOC	O	O	O
soll	O	O	O	O	O	O	O
fleißig	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Stimme	O	O	O	O	O	O	O
des	O	O	O	O	O	O	O
Dankens	O	O	O	O	O	O	O
erschallen	O	O	O	O	O	O	O
.	O	O	O	B-PER	O	O	O
							
Sie	O	O	O	B-LOC	O	O	O
ist	O	O	O	B-PER	O	O	O
nicht	O	O	O	O	O	O	O
eine	O	O	O	O	O	O	O
ungestimmte	O	O	O	O	O	O	O
sondern	O	O	O	O	O	O	O
wolgestimmte	O	O	O	B-LOC	O	O	O
laute	O	O	O	B-PER	O	O	O
Stimme	O	O	O	O	O	O	O
die	O	O	O	B-LOC	O	O	O
den	O	O	O	B-PER	O	O	O
Thon	O	O	O	B-LOC	O	O	O
aller	O	O	O	O	O	O	O
geistlichen	O	O	O	O	O	O	O
Lieder	O	O	O	B-PER	O	O	O
ausbringet	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Ach	O	O	O	B-LOC	O	O	O
mein	O	O	O	B-PER	O	O	O
Hertzliebes	O	B-PER	O	B-LOC	O	B-PER	O
Jesulein	O	O	O	O	O	O	O
mach	O	O	O	B-PER	O	O	O
dir	O	O	O	O	O	O	O
ein	O	O	O	O	O	O	O
rein	O	O	O	B-LOC	O	O	O
sanffts	O	O	O	O	O	O	O
Bettelein	O	B-LOC	O	O	O	O	O
zu	O	O	O	O	O	O	O
ruhen	O	O	O	O	O	O	O
in	O	O	O	B-PER	O	O	O
meines	O	O	O	O	O	O	O
Hertzens	O	O	O	B-LOC	O	O	O
Schrein	O	O	O	B-PER	O	O	O
daß	O	O	O	B-LOC	O	O	O
ich	O	O	O	B-PER	O	O	O
nimmermehr	O	O	O	B-LOC	O	O	O
vergesse	O	O	O	O	O	O	O
dein	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Aber	O	O	O	B-LOC	O	O	O
auch	O	O	O	B-PER	O	O	O
wir	O	O	O	B-LOC	O	O	O
sehen	O	O	O	B-PER	O	O	O
schöne	O	O	O	B-LOC	O	O	O
Früchte	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
Gott	O	O	O	B-PER	O	O	O
aus	O	O	O	B-LOC	O	O	O
der	O	O	O	B-PER	O	O	O
Erde	O	B-LOC	O	O	O	O	O
kommen	O	O	O	O	O	O	O
,	O	O	O	B-LOC	O	O	O
und	O	O	O	O	O	O	O
auf	O	O	O	O	O	O	O
denen	O	O	O	O	O	O	O
Baümen	O	B-PER	O	O	O	O	O
wachsen	O	O	O	O	O	O	O
läßet	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
erquicken	O	O	O	B-PER	O	O	O
uns	O	O	O	B-LOC	O	O	O
durch	O	O	O	O	O	O	O
dieselben	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Wir	O	O	O	B-LOC	O	O	O
haben	O	O	O	B-PER	O	O	O
dabey	O	O	O	B-LOC	O	O	O
in	O	O	O	O	O	O	O
acht	O	O	O	O	O	O	O
zu	O	O	O	B-PER	O	O	O
nähmen	O	O	O	O	O	O	O
:	O	O	O	B-LOC	O	O	O
							
Auch	O	O	O	B-PER	O	O	O
hierinn	O	O	O	B-LOC	O	O	O
kann	O	O	O	O	O	O	O
Galina	B-PER	B-PER	O	O	B-PER	B-PER	B-PER
zum	O	O	O	O	O	O	O
Muster	O	O	O	B-PER	O	O	O
dienen	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
wann	O	O	O	B-LOC	O	O	O
ihr	O	O	O	B-PER	O	O	O
auff	O	O	O	B-LOC	O	O	O
der	O	O	O	B-PER	O	O	O
Welt	O	O	O	B-LOC	O	O	O
den	O	O	O	B-PER	O	O	O
mindesten	O	O	O	B-LOC	O	O	O
Funcken	O	O	O	O	O	O	O
eines	O	O	O	O	O	O	O
Liecht	O	O	O	B-PER	O	O	O
Butzens	O	B-PER	O	B-LOC	O	B-PER	O
nicht	O	O	O	O	O	O	O
könt	O	O	O	O	O	O	O
erdulden	O	O	O	O	O	O	O
so	O	O	O	O	O	O	O
eracht	O	O	O	B-PER	O	O	O
dann	O	O	O	O	O	O	O
wie	O	O	O	O	O	O	O
dich	O	O	O	O	O	O	O
das	O	O	O	O	O	O	O
brennende	O	O	O	B-LOC	O	O	O
brinnende	O	O	O	O	O	O	O
brallende	O	O	O	B-PER	O	O	O
braßlende	O	O	O	O	O	O	O
Fegfeuer	O	O	O	O	O	O	O
wird	O	O	O	O	O	O	O
ankommen	O	O	O	B-LOC	O	O	O
O	O	O	O	O	O	O	O
Leyden	O	O	O	O	O	B-PER	O
!	O	O	O	O	O	O	O
							
Er	O	O	O	B-PER	O	O	O
muß	O	O	O	O	O	O	O
unsern	O	O	O	O	O	O	O
Hertzen	O	O	O	B-LOC	O	O	O
Luft	O	O	O	B-PER	O	O	O
machen	O	O	O	O	O	O	O
sie	O	O	O	B-LOC	O	O	O
kühlen	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
erquikken	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O
Hitz	O	B-LOC	O	O	O	O	O
und	O	O	O	O	O	O	O
Müdigkeit	O	O	O	O	O	O	O
mit	O	O	O	O	O	O	O
seinem	O	O	O	B-PER	O	O	O
kräftigem	O	O	O	B-LOC	O	O	O
Trost	O	O	O	O	O	O	O
daß	O	O	O	B-PER	O	O	O
sie	O	O	O	B-LOC	O	O	O
darunter	O	O	O	B-PER	O	O	O
nicht	O	O	O	B-LOC	O	O	O
vergehen	O	O	O	O	O	O	O
in	O	O	O	B-PER	O	O	O
ihrem	O	O	O	O	O	O	O
Elend	O	O	O	O	O	O	O
wie	O	O	O	B-LOC	O	O	O
Traudl	B-PER	B-PER	O	B-PER	B-PER	B-PER	O
Psalm11992	O	I-PER	O	B-LOC	O	O	O
sagt	O	O	O	O	O	O	O
.	O	O	O	B-PER	O	O	O
							
VII	O	O	O	B-LOC	O	O	O
Psalm	O	O	O	O	O	O	O
.	O	O	O	B-PER	O	O	O
							
Drum	O	O	O	B-LOC	O	O	O
so	O	O	O	O	O	O	O
gieb	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
mein	O	O	O	B-PER	O	O	O
lieber	O	O	O	O	O	O	O
Christ	O	O	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
dem	O	O	O	B-PER	O	O	O
Heiligen	O	O	O	O	O	O	O
Geiste	O	B-PER	O	B-LOC	O	O	O
Raum	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
und	O	O	O	B-PER	O	O	O
öffne	O	O	O	B-LOC	O	O	O
ihm	O	O	O	B-PER	O	O	O
dein	O	O	O	O	O	O	O
Hertz	O	O	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
daß	O	O	O	B-PER	O	O	O
er	O	O	O	O	O	O	O
selbiges	O	O	O	B-LOC	O	O	O
in	O	O	O	O	O	O	O
einen	O	O	O	B-PER	O	O	O
lieblichen	O	O	O	O	O	O	O
Accord	O	O	O	B-LOC	O	O	O
mit	O	O	O	O	O	O	O
seinen	O	O	O	O	O	O	O
Neigungen	O	O	O	O	O	O	O
stimmen	O	O	O	B-PER	O	O	O
,	O	O	O	B-LOC	O	O	O
und	O	O	O	B-PER	O	O	O
aus	O	O	O	B-LOC	O	O	O
einen	O	O	O	B-PER	O	O	O
schönen	O	O	O	B-LOC	O	O	O
Thon	O	O	O	O	O	O	O
ein	O	O	O	B-PER	O	O	O
annehmlich	O	O	O	B-LOC	O	O	O
Lied	O	O	O	O	O	O	O
spielen	O	O	O	B-PER	O	O	O
,	O	O	O	B-LOC	O	O	O
und	O	O	O	O	O	O	O
deine	O	O	O	B-PER	O	O	O
Stimme	O	O	O	O	O	O	O
holdseelig	O	O	O	B-LOC	O	O	O
machen	O	O	O	B-PER	O	O	O
möge	O	O	O	O	O	O	O
.	O	O	O	B-LOC	O	O	O
							
Das	O	O	O	I-LOC	O	O	O
reingestimmte	O	O	O	O	O	O	O
Orgel	O	O	O	O	O	O	O
Werk	O	O	O	O	O	O	O
unsers	O	O	O	O	O	O	O
Herzens	O	O	O	B-PER	O	O	O
Oder	O	O	O	B-LOC	O	O	O
Christliche	O	O	O	O	O	O	O
Einweihungs	O	O	O	O	O	O	O
Predigt	O	O	O	O	O	O	O
eines	O	O	O	B-PER	O	O	O
neuverfertigten	O	O	O	B-LOC	O	O	O
Orgel	O	O	O	O	O	O	O
Werkes	O	B-PER	O	O	O	O	O
Welches	O	O	O	O	O	O	O
Vor	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
allbereit	O	O	O	O	O	O	O
13	O	O	O	O	O	O	O
Jahr	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Asche	O	O	O	O	O	O	O
liegende	O	O	O	B-PER	O	O	O
Egidier	B-LOC	B-PER	O	B-LOC	B-LOC	O	O
Kyrche	I-LOC	I-PER	O	B-PER	O	O	O
angeschaffet	O	O	O	B-LOC	O	O	O
;	O	O	O	B-PER	O	O	O
inzwischen	O	O	O	B-LOC	O	O	O
aber	O	O	O	B-PER	O	O	O
in	O	O	O	B-LOC	O	O	O
der	O	O	O	O	O	O	O
Prediger	B-LOC	O	O	O	B-LOC	O	O
Kyrche	I-LOC	B-PER	O	B-PER	O	O	O
allwo	O	O	O	B-LOC	O	O	O
sich	O	O	O	B-PER	O	O	O
die	O	O	O	B-LOC	O	O	O
Egidier	O	O	O	O	B-LOC	O	O
Gemeine	O	O	O	O	O	O	O
biß	O	O	O	O	O	O	O
zum	O	O	O	O	O	O	O
neuen	O	O	O	O	O	O	O
Kyrchen	O	O	O	B-PER	O	O	O
Bau	O	O	O	B-LOC	O	O	O
zuversammlen	O	O	O	O	O	O	O
pflegt	O	O	O	B-PER	O	O	O
bey	O	O	O	O	O	O	O
dem	O	O	O	O	O	O	O
öffentlichen	O	O	O	B-LOC	O	O	O
Gottesdienst	O	O	O	O	O	O	O
zugebrauchen	O	O	O	B-PER	O	O	O
ist	O	O	O	B-LOC	O	O	O
angefangen	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
auch	O	O	O	B-PER	O	O	O
daselbst	O	O	O	O	O	O	O
eingeweihet	O	O	O	B-LOC	O	O	O
worden	O	O	O	B-PER	O	O	O
gehalten	O	O	O	B-LOC	O	O	O
Domenica	O	O	O	O	O	O	O
XXII	O	O	O	O	O	O	O
post	O	O	O	O	O	O	O
Trinitatis	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Dahin	O	O	O	B-LOC	O	O	O
es	O	O	O	O	O	O	O
auch	O	O	O	B-PER	O	O	O
Joachim	B-PER	B-PER	O	O	B-PER	B-PER	B-PER
Nerger	I-PER	I-PER	O	O	O	O	O
.	O	O	O	B-LOC	O	O	O
							
Wann	O	O	O	I-LOC	O	O	O
wir	O	O	O	B-PER	O	O	O
ferner	O	O	O	O	O	O	O
in	O	O	O	B-LOC	O	O	O
unsere	O	O	O	O	O	O	O
Orgel	O	O	O	O	O	O	O
sehen	O	O	O	B-PER	O	O	O
und	O	O	O	B-LOC	O	O	O
einblicken	O	O	O	O	O	O	O
finden	O	O	O	B-PER	O	O	O
wir	O	O	O	O	O	O	O
stracks	O	B-LOC	O	B-LOC	O	O	O
hindern	O	O	O	O	O	O	O
Principal	O	B-LOC	O	O	O	O	O
im	O	O	O	O	O	O	O
Oberwercke	O	O	O	O	O	B-LOC	O
sowohl	O	O	O	O	O	O	O
im	O	O	O	O	O	O	O
Rück	O	B-PER	O	O	O	O	O
Positiv	O	I-PER	O	O	O	O	O
die	O	O	O	O	O	O	O
gedackten	O	O	O	O	O	O	O
als	O	O	O	B-PER	O	O	O
2	O	O	O	O	O	O	O
grob	O	O	O	B-LOC	O	O	O
gedackte	O	O	O	O	O	O	O
8	O	O	O	B-PER	O	O	O
Fuß	O	O	O	B-LOC	O	O	O
Thon	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
2	O	O	O	B-PER	O	O	O
klein	O	O	O	B-LOC	O	O	O
gedackte	O	O	O	O	O	O	O
4	O	O	O	O	O	O	O
Füß	O	O	O	O	O	O	O
welche	O	O	O	B-PER	O	O	O
gar	O	O	O	O	O	O	O
leise	O	O	O	B-LOC	O	O	O
und	O	O	O	O	O	O	O
dunckel	O	O	O	O	O	O	O
doch	O	O	O	O	O	O	O
sehr	O	O	O	O	O	O	O
lieblich	O	O	O	O	O	O	O
klingen	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O
							
Jn	O	O	O	B-PER	O	O	O
diesem	O	O	O	O	O	O	O
durch	O	O	O	O	O	O	O
Vergünstigung	O	O	O	B-LOC	O	O	O
der	O	O	O	B-PER	O	O	O
hohen	O	O	O	O	O	O	O
Schwedischen	O	O	O	O	O	O	O
Krone	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Deutschen	O	O	O	O	O	O	O
Nation	O	O	O	O	O	O	O
eingeräumten	O	O	O	O	O	O	O
Gottes	O	O	O	B-LOC	O	O	O
Hause	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
an	O	O	O	O	O	O	O
dieser	O	O	O	B-PER	O	O	O
,	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
Gottheit	O	O	O	B-LOC	O	O	O
und	O	O	O	O	O	O	O
der	O	O	O	B-PER	O	O	O
Religion	O	O	O	B-LOC	O	O	O
geheiligten	O	O	O	B-PER	O	O	O
,	O	O	O	B-LOC	O	O	O
Stäte	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
worin	O	O	O	O	O	O	O
die	O	O	O	O	O	O	O
meisten	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
großen	O	O	O	O	O	O	O
Könige	O	O	O	O	O	O	O
und	O	O	O	B-PER	O	O	O
Königinnen	O	O	O	O	O	O	O
Schwedens	B-LOC	B-LOC	O	O	O	B-LOC	B-LOC
den	O	O	O	B-LOC	O	O	O
Herrn	O	O	O	O	O	O	O
des	O	O	O	B-PER	O	O	O
Himmels	O	O	O	B-LOC	O	O	O
und	O	O	O	O	O	O	O
den	O	O	O	O	O	O	O
allgemeinen	O	O	O	B-PER	O	O	O
Vater	O	O	O	B-LOC	O	O	O
der	O	O	O	O	O	O	O
Menschen	O	O	O	O	O	O	O
verehreten	O	O	O	B-PER	O	O	O
und	O	O	O	B-LOC	O	O	O
Zeugen	O	O	O	O	O	O	O
der	O	O	O	O	O	O	O
inbrünnstigen	O	O	O	O	O	O	O
Fürbitte	O	O	O	O	O	O	O
für	O	O	O	O	O	O	O
den	O	O	O	O	O	O	O
Thron	O	O	O	O	O	O	O
waren	O	O	O	B-PER	O	O	O
;	O	O	O	O	O	O	O
an	O	O	O	B-LOC	O	O	O
dieser	O	O	O	O	O	O	O
Stäte	B-LOC	O	O	O	O	O	O
sieht	O	O	O	B-PER	O	O	O
diese	O	O	O	B-LOC	O	O	O
Versammlung	O	O	O	O	O	O	O
den	O	O	O	O	O	O	O
glücklichen	O	O	O	O	O	O	O
Nachfolger	O	O	O	O	O	O	O
jener	O	O	O	O	O	O	O
großen	O	O	O	O	O	O	O
Regenten	O	O	O	O	O	O	O
von	O	O	O	O	O	O	O
Thaddäus	B-PER	B-PER	O	B-PER	B-PER	B-PER	B-PER
Gumprich	I-PER	I-PER	O	B-LOC	O	O	O
Mühle	I-PER	I-PER	O	O	O	O	O
an	O	O	O	O	O	O	O
bis	O	O	O	O	O	O	O
auf	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O
darf	O	O	O	B-PER	O	O	O
ich	O	O	O	O	O	O	O
ihn	O	O	O	O	O	O	O
bey	O	B-PER	O	O	O	O	O
Besorgniß	O	I-PER	O	B-LOC	O	O	O
einer	O	O	O	B-PER	O	O	O
allgemein	O	O	O	O	O	O	O
schmerzlichen	O	O	O	O	O	O	O
Gemüthsrührung	O	O	O	B-LOC	O	O	O
laute	O	O	O	B-PER	O	O	O
nennen	O	O	O	O	O	O	O
?	O	O	O	B-LOC	O	O	O
							
D	O	B-LOC	O	I-LOC	O	O	O
3	O	O	O	B-PER	O	O	O
Num	O	O	O	B-LOC	O	O	O
13	O	O	O	B-PER	O	O	O
Abjectus	O	O	O	B-LOC	O	O	O
est	O	O	O	B-PER	O	O	O
Clypeus	O	O	O	B-LOC	O	B-PER	B-PER
fortium	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O
							
Ob	O	O	O	B-PER	O	O	O
wir	O	O	O	B-LOC	O	O	O
nun	O	O	O	O	O	O	O
wol	O	O	O	O	O	O	O
mit	O	O	O	O	O	O	O
keinem	O	O	O	B-PER	O	O	O
Grunde	O	O	O	B-LOC	O	O	O
sagen	O	O	O	O	O	O	O
können	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
daß	O	O	O	B-PER	O	O	O
der	O	O	O	O	O	O	O
Teufel	O	B-PER	O	B-LOC	O	O	O
durch	O	O	O	B-PER	O	O	O
die	O	O	O	O	O	O	O
natürliche	O	O	O	B-LOC	O	O	O
Kraft	O	O	O	B-PER	O	O	O
dieser	O	O	O	B-LOC	O	O	O
Music	O	O	O	O	O	O	O
von	O	O	O	B-PER	O	O	O
dem	O	O	O	O	O	O	O
Kemal	B-PER	B-LOC	O	B-LOC	O	O	O
habe	O	O	O	B-PER	O	O	O
weichen	O	O	O	O	O	O	O
müssen	O	O	O	O	O	O	O
;	O	O	O	O	O	O	O
sondern	O	O	O	B-LOC	O	O	O
vielmehr	O	O	O	O	O	O	O
zu	O	O	O	O	O	O	O
glauben	O	O	O	O	O	O	O
ist	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
daß	O	O	O	B-PER	O	O	O
etwas	O	O	O	O	O	O	O
übernatürliches	O	O	O	O	O	O	O
dabey	O	O	O	B-LOC	O	O	O
vorgegangen	O	O	O	B-PER	O	O	O
sey	O	B-LOC	O	B-LOC	O	O	O
,	O	O	O	O	O	O	O
indem	O	O	O	O	O	O	O
Klaus-Peter	B-PER	B-PER	O	O	B-PER	B-PER	B-PER
höchstwahrscheinlich	O	O	O	B-PER	O	O	O
geistliche	O	O	O	B-LOC	O	O	O
Psalmen	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O
welche	O	O	O	O	O	O	O
als	O	O	O	B-PER	O	O	O
ordentliche	O	O	O	O	O	O	O
Mittel	O	O	O	O	O	O	O
nach	O	O	O	O	O	O	O
dem	O	O	O	B-LOC	O	O	O
Zeugniße	O	O	O	O	O	O	O
der	O	O	O	B-PER	O	O	O
heiligen	O	O	O	O	O	O	O
Schrift	O	O	O	O	O	O	O
,	O	O	O	B-LOC	O	O	O
Ephes	O	O	O	O	O	B-PER	O
6	O	O	O	B-PER	O	O	O
,	O	O	O	B-LOC	O	O	O
16	O	O	O	B-PER	O	O	O
18	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O
solchen	O	O	O	O	O	O	O
Fällen	O	O	O	O	O	O	O
den	O	O	O	O	O	O	O
Satan	O	B-PER	O	B-LOC	O	O	O
vertreiben	O	O	O	B-PER	O	O	O
,	O	O	O	B-LOC	O	O	O
dazu	O	O	O	O	O	O	O
gesungen	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O
							
Die	O	O	O	B-LOC	O	O	O
Feinde	O	O	O	O	O	O	O
zogen	O	O	O	B-PER	O	O	O
wol	O	O	O	B-LOC	O	O	O
an	O	O	O	O	O	O	O
Ziz	B-LOC	O	B-LOC	O	O	O	O
herauf	O	O	O	B-PER	O	O	O
am	O	O	O	O	O	O	O
Schilff	O	B-LOC	O	B-LOC	O	O	O
im	O	O	O	B-PER	O	O	O
Bach	O	O	O	B-LOC	O	O	O
vor	O	O	O	B-PER	O	O	O
der	O	O	O	O	O	O	O
Wüsten	B-LOC	O	B-LOC	O	O	O	O
Jeruel	I-LOC	B-LOC	I-LOC	B-LOC	O	B-LOC	O
;	O	O	O	B-PER	O	O	O
und	O	O	O	B-LOC	O	O	O
machten	O	O	O	O	O	O	O
einen	O	O	O	B-PER	O	O	O
Hinderhalt	O	O	O	B-LOC	O	O	O
;	O	O	O	B-PER	O	O	O
geriethen	O	O	O	B-LOC	O	O	O
aber	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O
durch	O	O	O	O	O	O	O
gerechte	O	O	O	O	O	O	O
Schickung	O	B-PER	O	O	O	O	O
Gottes	O	I-PER	O	O	O	O	O
)	O	O	O	B-PER	O	O	O
einander	O	O	O	O	O	O	O
selber	O	O	O	B-LOC	O	O	O
und	O	O	O	B-PER	O	O	O
zwar	O	O	O	B-LOC	O	O	O
solcher	O	O	O	O	O	O	O
massen	O	O	O	O	O	O	O
in	O	O	O	B-PER	O	O	O
die	O	O	O	B-LOC	O	O	O
Haare	O	O	O	O	O	O	O
daß	O	O	O	B-PER	O	O	O
sie	O	O	O	O	O	O	O
als	O	O	O	O	O	O	O
rasende	O	O	O	B-LOC	O	O	O
und	O	O	O	B-PER	O	O	O
Unsinnige	O	O	O	B-LOC	O	O	O
einander	O	O	O	B-PER	O	O	O
selbst	O	O	O	O	O	O	O
so	O	O	O	O	O	O	O
hitzig	O	O	O	O	O	O	O
und	O	O	O	O	O	O	O
unabläßig	O	O	O	O	O	O	O
aufrieben	O	O	O	O	O	O	O
daß	O	O	O	O	O	O	O
aus	O	O	O	B-LOC	O	O	O
so	O	O	O	B-PER	O	O	O
viel	O	O	O	B-LOC	O	O	O
tausenden	O	O	O	O	O	O	O
nicht	O	O	O	B-PER	O	O	O
einer	O	O	O	O	O	O	O
überblieb	O	O	O	B-LOC	O	O	O
.	O	O	O	O	O	O	O
							
mit	O	O	O	B-LOC	O	O	O
was	O	O	O	B-PER	O	O	O
vor	O	O	O	O	O	O	O
einem	O	O	O	O	O	O	O
Herzen	O	O	O	B-LOC	O	O	O
hast	O	O	O	B-PER	O	O	O
du	O	O	O	O	O	O	O
dich	O	O	O	O	O	O	O
heute	O	O	O	O	O	O	O
darinne	O	O	O	B-LOC	O	O	O
versammlet	O	O	O	O	O	O	O
?	O	O	O	O	O	O	O
							
Spitzet	O	B-LOC	O	B-LOC	O	O	O
nun	O	O	O	O	O	O	O
der	O	O	O	B-PER	O	O	O
Orgel	O	O	O	B-LOC	O	O	O
Stimmer	O	B-PER	O	B-PER	O	O	O
die	O	O	O	O	O	O	O
Ohren	O	B-LOC	O	O	O	O	O
und	O	O	O	B-LOC	O	O	O
höret	O	O	O	O	O	O	O
genau	O	O	O	O	O	O	O
ob	O	O	O	O	O	O	O
das	O	O	O	O	O	O	O
Principal	O	O	O	O	O	O	O
richtigen	O	O	O	O	O	O	O
Thon	O	O	O	O	O	O	O
habe	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O
							
Nichts	O	O	O	B-LOC	O	O	O
tyrannischer	O	O	O	O	O	O	O
vnd	O	O	O	O	O	O	O
grausamer	O	O	O	O	O	O	O
kan	O	O	O	O	O	O	O
erdacht	O	O	O	B-PER	O	O	O
